"","Format","Format label","from bio.tools","from bio.tools label","is_format_of","is_format_of label","parent","parent label"
"1","http://edamontology.org/format_1196","SMILES","http://edamontology.org/data_0990|http://edamontology.org/data_2851|http://edamontology.org/data_0962","Compound name|Drug structure|Small molecule report",NA,NA,"http://edamontology.org/format_2035","Chemical formula format"
"2","http://edamontology.org/format_1197","InChI","http://edamontology.org/data_1353|http://edamontology.org/data_0006","Sequence motif|Data",NA,NA,"http://edamontology.org/format_2035","Chemical formula format"
"3","http://edamontology.org/format_1198","mf",NA,NA,NA,NA,"http://edamontology.org/format_2035","Chemical formula format"
"4","http://edamontology.org/format_1199","InChIKey",NA,NA,NA,NA,"http://edamontology.org/format_2035","Chemical formula format"
"5","http://edamontology.org/format_1200","smarts",NA,NA,NA,NA,"http://edamontology.org/format_1196","SMILES"
"6","http://edamontology.org/format_1206","unambiguous pure",NA,NA,NA,NA,"http://edamontology.org/format_2094|http://edamontology.org/format_2096","pure|unambiguous sequence"
"7","http://edamontology.org/format_1207","nucleotide","http://edamontology.org/data_2526|http://edamontology.org/data_1234|http://edamontology.org/data_2977","Text data|Sequence set (nucleic acid)|Nucleic acid sequence",NA,NA,"http://edamontology.org/format_2571","Raw sequence format"
"8","http://edamontology.org/format_1208","protein","http://edamontology.org/data_2976","Protein sequence",NA,NA,"http://edamontology.org/format_2571","Raw sequence format"
"9","http://edamontology.org/format_1209","consensus",NA,NA,NA,NA,"http://edamontology.org/format_2097|http://edamontology.org/format_2095","ambiguous|unpure"
"10","http://edamontology.org/format_1210","pure nucleotide",NA,NA,NA,NA,"http://edamontology.org/format_2094|http://edamontology.org/format_1207","pure|nucleotide"
"11","http://edamontology.org/format_1211","unambiguous pure nucleotide",NA,NA,NA,NA,"http://edamontology.org/format_1206|http://edamontology.org/format_1207","unambiguous pure|nucleotide"
"12","http://edamontology.org/format_1212","dna","http://edamontology.org/data_2977|http://edamontology.org/data_2044","Nucleic acid sequence|Sequence",NA,NA,"http://edamontology.org/format_1207","nucleotide"
"13","http://edamontology.org/format_1213","rna","http://edamontology.org/data_2603|http://edamontology.org/data_3495","Expression data|RNA sequence",NA,NA,"http://edamontology.org/format_1207","nucleotide"
"14","http://edamontology.org/format_1214","unambiguous pure dna","http://edamontology.org/data_2975","Nucleic acid sequence (raw)",NA,NA,"http://edamontology.org/format_1206|http://edamontology.org/format_1212","unambiguous pure|dna"
"15","http://edamontology.org/format_1215","pure dna",NA,NA,NA,NA,"http://edamontology.org/format_1212|http://edamontology.org/format_1210","dna|pure nucleotide"
"16","http://edamontology.org/format_1216","unambiguous pure rna sequence",NA,NA,NA,NA,"http://edamontology.org/format_1213|http://edamontology.org/format_1206","rna|unambiguous pure"
"17","http://edamontology.org/format_1217","pure rna",NA,NA,NA,NA,"http://edamontology.org/format_1213|http://edamontology.org/format_1210","rna|pure nucleotide"
"18","http://edamontology.org/format_1218","unambiguous pure protein","http://edamontology.org/data_2974","Protein sequence (raw)",NA,NA,"http://edamontology.org/format_1208|http://edamontology.org/format_1206","protein|unambiguous pure"
"19","http://edamontology.org/format_1219","pure protein","http://edamontology.org/data_0849","Sequence record",NA,NA,"http://edamontology.org/format_1208|http://edamontology.org/format_2094","protein|pure"
"20","http://edamontology.org/format_1248","EMBL feature location",NA,NA,NA,NA,"http://edamontology.org/format_2078","Sequence range format"
"21","http://edamontology.org/format_1295","quicktandem",NA,NA,NA,NA,"http://edamontology.org/format_2155","Sequence features (repeats) format"
"22","http://edamontology.org/format_1296","Sanger inverted repeats",NA,NA,NA,NA,"http://edamontology.org/format_2155","Sequence features (repeats) format"
"23","http://edamontology.org/format_1297","EMBOSS repeat",NA,NA,NA,NA,"http://edamontology.org/format_2155","Sequence features (repeats) format"
"24","http://edamontology.org/format_1316","est2genome format",NA,NA,NA,NA,"http://edamontology.org/format_2031","Gene annotation format"
"25","http://edamontology.org/format_1318","restrict format",NA,NA,NA,NA,"http://edamontology.org/format_2158","Nucleic acid features (restriction sites) format"
"26","http://edamontology.org/format_1319","restover format",NA,NA,NA,NA,"http://edamontology.org/format_2158","Nucleic acid features (restriction sites) format"
"27","http://edamontology.org/format_1320","REBASE restriction sites",NA,NA,NA,NA,"http://edamontology.org/format_2158","Nucleic acid features (restriction sites) format"
"28","http://edamontology.org/format_1332","FASTA search results format","http://edamontology.org/data_2044|http://edamontology.org/data_1233|http://edamontology.org/data_1193","Sequence|Sequence set (protein)|Tool name (FASTA)",NA,NA,"http://edamontology.org/format_2066","Database hits (sequence) format"
"29","http://edamontology.org/format_1333","BLAST results","http://edamontology.org/data_1711|http://edamontology.org/data_0863","Sequence alignment image|Sequence alignment",NA,NA,"http://edamontology.org/format_2066","Database hits (sequence) format"
"30","http://edamontology.org/format_1334","mspcrunch",NA,NA,NA,NA,"http://edamontology.org/format_2066","Database hits (sequence) format"
"31","http://edamontology.org/format_1335","Smith-Waterman format",NA,NA,NA,NA,"http://edamontology.org/format_2066","Database hits (sequence) format"
"32","http://edamontology.org/format_1336","dhf",NA,NA,NA,NA,"http://edamontology.org/format_2066","Database hits (sequence) format"
"33","http://edamontology.org/format_1337","lhf",NA,NA,NA,NA,"http://edamontology.org/format_2066","Database hits (sequence) format"
"34","http://edamontology.org/format_1341","InterPro hits format",NA,NA,NA,NA,"http://edamontology.org/format_2066","Database hits (sequence) format"
"35","http://edamontology.org/format_1342","InterPro protein view report format",NA,NA,NA,NA,"http://edamontology.org/format_1341","InterPro hits format"
"36","http://edamontology.org/format_1343","InterPro match table format",NA,NA,NA,NA,"http://edamontology.org/format_1341","InterPro hits format"
"37","http://edamontology.org/format_1349","HMMER Dirichlet prior",NA,NA,NA,NA,"http://edamontology.org/format_2074","Dirichlet distribution format"
"38","http://edamontology.org/format_1350","MEME Dirichlet prior",NA,NA,NA,NA,"http://edamontology.org/format_2074","Dirichlet distribution format"
"39","http://edamontology.org/format_1351","HMMER emission and transition",NA,NA,NA,NA,"http://edamontology.org/format_2075","HMM emission and transition counts format"
"40","http://edamontology.org/format_1356","prosite-pattern",NA,NA,NA,NA,"http://edamontology.org/format_2068","Sequence motif format"
"41","http://edamontology.org/format_1357","EMBOSS sequence pattern",NA,NA,NA,NA,"http://edamontology.org/format_2068","Sequence motif format"
"42","http://edamontology.org/format_1360","meme-motif","http://edamontology.org/data_1353","Sequence motif",NA,NA,"http://edamontology.org/format_2068","Sequence motif format"
"43","http://edamontology.org/format_1366","prosite-profile",NA,NA,NA,NA,"http://edamontology.org/format_2069","Sequence profile format"
"44","http://edamontology.org/format_1367","JASPAR format","http://edamontology.org/data_1353","Sequence motif",NA,NA,"http://edamontology.org/format_2069","Sequence profile format"
"45","http://edamontology.org/format_1369","MEME background Markov model",NA,NA,NA,NA,"http://edamontology.org/format_2072","Hidden Markov model format"
"46","http://edamontology.org/format_1370","HMMER format","http://edamontology.org/data_1364","Hidden Markov model",NA,NA,"http://edamontology.org/format_2072","Hidden Markov model format"
"47","http://edamontology.org/format_1391","HMMER-aln",NA,NA,NA,NA,"http://edamontology.org/format_2200|http://edamontology.org/format_2554","FASTA-like (text)|Alignment format (text)"
"48","http://edamontology.org/format_1392","DIALIGN format",NA,NA,NA,NA,"http://edamontology.org/format_2554","Alignment format (text)"
"49","http://edamontology.org/format_1393","daf",NA,NA,NA,NA,"http://edamontology.org/format_2554","Alignment format (text)"
"50","http://edamontology.org/format_1419","Sequence-MEME profile alignment","http://edamontology.org/data_1361","Position frequency matrix",NA,NA,"http://edamontology.org/format_2014","Sequence-profile alignment format"
"51","http://edamontology.org/format_1421","HMMER profile alignment (sequences versus HMMs)",NA,NA,NA,NA,"http://edamontology.org/format_2014","Sequence-profile alignment format"
"52","http://edamontology.org/format_1422","HMMER profile alignment (HMM versus sequences)",NA,NA,NA,NA,"http://edamontology.org/format_2014","Sequence-profile alignment format"
"53","http://edamontology.org/format_1423","Phylip distance matrix","http://edamontology.org/data_0870","Sequence distance matrix",NA,NA,"http://edamontology.org/format_2067","Sequence distance matrix format"
"54","http://edamontology.org/format_1424","ClustalW dendrogram",NA,NA,NA,NA,"http://edamontology.org/format_2556","Phylogenetic tree format (text)"
"55","http://edamontology.org/format_1425","Phylip tree raw",NA,NA,NA,NA,"http://edamontology.org/format_2556","Phylogenetic tree format (text)"
"56","http://edamontology.org/format_1430","Phylip continuous quantitative characters",NA,NA,NA,NA,"http://edamontology.org/format_2037","Phylogenetic continuous quantitative character format"
"57","http://edamontology.org/format_1432","Phylip character frequencies format",NA,NA,NA,NA,"http://edamontology.org/format_2037","Phylogenetic continuous quantitative character format"
"58","http://edamontology.org/format_1433","Phylip discrete states format",NA,NA,NA,NA,"http://edamontology.org/format_2038","Phylogenetic discrete states format"
"59","http://edamontology.org/format_1434","Phylip cliques format",NA,NA,NA,NA,"http://edamontology.org/format_2039","Phylogenetic tree report (cliques) format"
